what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400620994898
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400620995006
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400620997103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400620997107
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400620997266
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400620993876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400620993880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400620994889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400620998543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400620998706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400620998719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400620998792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621001378
error,log,,,"Unhandled event loop exception",1400621001428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621004304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621015613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621020069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621020185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621020195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621020268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621027903
error,log,,,"Unhandled event loop exception",1400621027944
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621032739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621032744
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621032857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621035032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621035154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621035161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621035341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621036726
error,log,,,"Unhandled event loop exception",1400621036773
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621042706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621042711
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621042868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1400621048574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400621049371
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621049579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621049584
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621049693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400621052078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400621054917
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621058196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621058200
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621058308
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621079592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621079597
