what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1400621490642
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621493824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621493942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621522883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621525397
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1400621525429
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1400621525872
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621529734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621529738
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621529850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621539190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621540849
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1400621540884
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1400621541394
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621543814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621543949
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621550775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621550779
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621550888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621559287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400621561135
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1400621561168
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1400621561596
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621564487
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621564687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400621591978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400621593148
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621593516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621593521
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621593631
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621604556
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621604560
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621604669
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621613271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621613275
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621613382
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621615196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621615201
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621615311
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621631905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621631910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621632018
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621634299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400621634303
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400621634419
